,BFP_SEAL_WATER_FLOW,BFP_SUCT_HDR_PRESS________,AUX_CDSR_2B_PRESS_________,BFP_SUCTION_HDR_TEMP______,BFPT_B_VALVE_DEMAND_HP_STO,BFPT_B_VALVE_DEMAND_LP_STO,BFPT_B_CALC_VALVE_DEMAND__,2B_TDBFP_RECIRC_VLV_DMD___,BFP_2B_DISCHARGE_FLOW_____,BFP_2B_IBRD_SEAL_INJ_FLOW_,BFP_2B_OBRD_SEAL_INJ_FLOW_,2B_TDBFP_DISCHARGE_FLOW___,BFP_2B_BAL_DRUM_FLOW______,2B_TDBFP_RECIRC_VLV_POS___,BFP_DSCH_HDR_PRESS________,BFP_2B_LUBE_OIL_PRESS_____,BFPT_2B_FIRST_STAGE_PRESS_,2B_TDBFP_RECIRC_FLOW______,BFPT_B_LP_SPEED_INPUT__1__,BFPT_B_LP_SPEED_INPUT__2__,BFP_DISCHARGE_HEADER_TEMP_,BFP_2B_THRUST_BRG_TEMP____,BFP_2B_IN_BRG_TEMP________,BFP_2B_OUT_BRG_TEMP_______,BFPT_2B_BRG_1_DRAIN_TEMP__,BFPT_2B_BRG_2_DRAIN_TEMP__,BFPT_2B_THRUST_BRG_DRAIN__,BFP_2B_BARREL_TOP_IBRD_TEM,BFP_2B_BARREL_BOT_IBRD_TEM,BFP_2B_BARREL_TOP_OBRD_TEM,BFP_2B_BARREL_BOT_OBRD_TEM,BFPT_2B_IN_BRG_MTL_TEMP___,BFP_2B_IBRD_SEAL_INJ_DRN_T,BFP_2B_OBRD_SEAL_INJ_DRN_T,2B_BFPT_ROTOR_VIB_OBRG____,2B_BFPT_ROTOR_VIB_IBRB____,BFPT_2B_RAD_SHAFT_VIB_OB_B,BFPT_2B_RAD_SHAFT_VIB_IB_B,BFP_2B_AXIAL_SHAFT_VIB____,BFPT_2B_THRUST_BRG_WEAR___,BFP_2B_RAD_SHAFT_VIB_OB_BR,BFP_2B_RAD_SHAFT_VIB_IB_BR,BFPT_2B_AXIAL_SHAFT_VIB___,MAIN_STEAM_FLOW_TO_BFPS___,EXT_STM_FLOW_TO_BFP_2B____,CW_FRM_AUX_CDSR_2B________,CW_TO_AUX_CDS_2B
5/1/98 0:00,14.35,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.69,,66.42,66.72,63.97,92.19,64.12,66.39,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:05,14.35,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.69,,66.42,66.72,63.97,92.19,64.11,66.38,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:10,14.35,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:15,14.35,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:20,14.34,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:25,14.34,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.1,67.13,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:30,14.34,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.09,67.12,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:35,14.34,136.18,29.2,88.57,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.09,67.12,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:40,14.34,136.18,29.2,88.56,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.68,,66.42,66.72,63.97,92.19,64.11,66.38,66.09,67.12,66.54,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
5/1/98 0:45,14.34,136.18,29.2,88.56,0.01,0,0,99.98,0,25.44,22.61,-0.02,0,100.21,3029.73,,1.65,,0,0,75.67,,66.42,66.72,63.97,92.19,64.11,66.38,66.09,67.12,66.53,69.08,64.91,64.76,,,,,,,,,,0,,68.11,65.72
